GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven,br.com.gilberto.maven.maven,App,7,0,0,0,3,0,2,0,2,0
maven,br.com.gilberto.maven.maven,Produto,6,14,0,0,2,5,2,2,2,2
